date_time,date_time_HH,HH_water_level,date_time_H,H_water_level,date_time_L,L_water_level,date_time_LL,LL_water_level
2018-01-01,2018-01-01 13:18:00,0.6579999999999999,2018-01-01 00:30:00,0.409,2018-01-01 06:54:00,-0.409,2018-01-01 19:54:00,-0.435
2018-01-02,2018-01-02 14:06:00,0.544,2018-01-02 01:30:00,0.317,2018-01-02 07:30:00,-0.48100000000000004,2018-01-02 20:36:00,-0.642
2018-01-03,2018-01-03 15:00:00,0.478,2018-01-03 02:18:00,0.198,2018-01-03 21:06:00,-0.522,2018-01-03 08:30:00,-0.721
2018-01-04,2018-01-04 15:36:00,0.78,2018-01-04 03:48:00,0.575,2018-01-04 09:24:00,-0.096,2018-01-04 22:24:00,-0.491
2018-01-05,2018-01-05 04:06:00,0.445,2018-01-05 16:42:00,0.325,2018-01-05 10:36:00,-0.58,2018-01-05 23:30:00,-0.674
2018-01-06,2018-01-06 04:48:00,0.013000000000000001,2018-01-06 17:18:00,0.004,2018-01-06 11:30:00,-0.855,,
2018-01-07,2018-01-07 18:12:00,-0.127,2018-01-07 06:12:00,-0.147,2018-01-07 12:24:00,-0.8540000000000001,2018-01-07 00:24:00,-0.9009999999999999
2018-01-08,2018-01-08 19:12:00,-0.124,2018-01-08 07:00:00,-0.16899999999999998,,,2018-01-08 00:54:00,-0.899
2018-01-09,2018-01-09 20:06:00,-0.11699999999999999,2018-01-09 07:48:00,-0.13,2018-01-09 01:54:00,-0.722,,
2018-01-10,2018-01-10 21:12:00,0.052000000000000005,2018-01-10 09:12:00,0.040999999999999995,,,2018-01-10 02:42:00,-0.711
2018-01-11,2018-01-11 09:54:00,0.23399999999999999,2018-01-11 22:36:00,0.132,2018-01-11 03:12:00,-0.466,,
2018-01-12,2018-01-12 10:36:00,0.27399999999999997,2018-01-12 23:12:00,0.233,,,2018-01-12 04:12:00,-0.41100000000000003
2018-01-13,2018-01-13 11:18:00,0.253,2018-01-13 23:30:00,0.253,2018-01-13 04:48:00,-0.32799999999999996,,
2018-01-14,2018-01-14 12:24:00,0.374,,,2018-01-14 19:06:00,-0.365,2018-01-14 06:06:00,-0.306
2018-01-15,2018-01-15 13:06:00,0.501,2018-01-15 00:36:00,0.152,2018-01-15 19:24:00,-0.294,2018-01-15 06:18:00,-0.41200000000000003
2018-01-16,2018-01-16 13:36:00,0.503,2018-01-16 01:24:00,0.35600000000000004,,,2018-01-16 07:18:00,-0.308
2018-01-17,2018-01-17 14:30:00,0.642,2018-01-17 01:54:00,0.40299999999999997,2018-01-17 07:48:00,-0.248,2018-01-17 20:48:00,-0.078
2018-01-18,2018-01-18 15:06:00,0.528,2018-01-18 02:30:00,0.494,2018-01-18 21:30:00,-0.387,,
2018-01-19,2018-01-19 15:30:00,0.42200000000000004,2018-01-19 03:30:00,0.157,2018-01-19 21:36:00,-0.344,2018-01-19 09:00:00,-0.41600000000000004
2018-01-20,2018-01-20 16:00:00,0.33899999999999997,2018-01-20 03:36:00,0.317,2018-01-20 22:06:00,-0.425,2018-01-20 09:48:00,-0.41100000000000003
2018-01-21,2018-01-21 16:36:00,0.299,2018-01-21 04:24:00,0.265,,,2018-01-21 22:54:00,-0.48
2018-01-22,,,2018-01-22 17:24:00,0.301,2018-01-22 11:06:00,-0.425,2018-01-22 23:24:00,-0.36700000000000005
2018-01-23,2018-01-23 05:54:00,0.365,2018-01-23 18:06:00,0.39,2018-01-23 12:18:00,-0.24600000000000002,2018-01-23 23:54:00,-0.23
2018-01-24,2018-01-24 06:30:00,0.47,,,2018-01-24 12:54:00,-0.214,,
2018-01-25,,,2018-01-25 07:00:00,0.304,2018-01-25 01:18:00,-0.345,2018-01-25 14:00:00,-0.374
2018-01-26,2018-01-26 08:30:00,0.239,2018-01-26 20:54:00,0.11599999999999999,2018-01-26 15:06:00,-0.452,2018-01-26 02:24:00,-0.486
2018-01-27,2018-01-27 09:48:00,0.22399999999999998,2018-01-27 22:12:00,0.136,2018-01-27 16:12:00,-0.489,2018-01-27 03:18:00,-0.61
2018-01-28,2018-01-28 10:48:00,0.34299999999999997,2018-01-28 23:18:00,0.22399999999999998,2018-01-28 17:12:00,-0.516,2018-01-28 04:18:00,-0.583
2018-01-29,2018-01-29 11:54:00,0.541,,,2018-01-29 18:12:00,-0.21600000000000003,2018-01-29 05:12:00,-0.508
2018-01-30,2018-01-30 13:06:00,0.8420000000000001,2018-01-30 00:12:00,0.716,2018-01-30 19:24:00,-0.136,2018-01-30 06:24:00,-0.209
2018-01-31,2018-01-31 13:48:00,0.7240000000000001,2018-01-31 01:18:00,0.721,2018-01-31 07:42:00,-0.26,2018-01-31 20:24:00,-0.392
2018-02-01,2018-02-01 14:48:00,0.43799999999999994,2018-02-01 01:54:00,0.405,2018-02-01 21:18:00,-0.593,2018-02-01 08:36:00,-0.6920000000000001
2018-02-02,2018-02-02 16:30:00,0.525,2018-02-02 02:48:00,0.268,2018-02-02 21:54:00,-0.402,2018-02-02 08:42:00,-0.618
2018-02-03,2018-02-03 04:06:00,0.405,2018-02-03 16:12:00,0.363,2018-02-03 10:12:00,-0.581,2018-02-03 22:42:00,-0.6559999999999999
2018-02-04,2018-02-04 17:00:00,0.311,2018-02-04 04:54:00,0.16899999999999998,2018-02-04 23:12:00,-0.541,2018-02-04 10:48:00,-0.598
2018-02-05,2018-02-05 17:42:00,0.44799999999999995,2018-02-05 05:42:00,0.349,,,2018-02-05 11:42:00,-0.402
2018-02-06,2018-02-06 06:06:00,0.301,2018-02-06 18:36:00,0.16,2018-02-06 00:24:00,-0.39,2018-02-06 12:42:00,-0.47
2018-02-07,2018-02-07 07:18:00,0.311,2018-02-07 19:12:00,0.21899999999999997,2018-02-07 00:48:00,-0.43799999999999994,,
2018-02-08,2018-02-08 09:00:00,0.423,2018-02-08 20:06:00,0.21600000000000003,2018-02-08 14:42:00,-0.087,2018-02-08 00:54:00,-0.33399999999999996
2018-02-09,2018-02-09 09:06:00,0.193,2018-02-09 21:30:00,0.083,2018-02-09 15:42:00,-0.336,2018-02-09 03:00:00,-0.408
2018-02-10,2018-02-10 10:06:00,0.27399999999999997,2018-02-10 22:42:00,0.163,2018-02-10 16:30:00,-0.295,2018-02-10 03:36:00,-0.385
2018-02-11,2018-02-11 11:00:00,0.28,2018-02-11 23:36:00,0.13,2018-02-11 17:30:00,-0.39299999999999996,2018-02-11 04:24:00,-0.348
2018-02-12,2018-02-12 12:00:00,0.2,,,2018-02-12 19:12:00,-0.294,2018-02-12 05:24:00,-0.43700000000000006
2018-02-13,2018-02-13 12:54:00,0.364,2018-02-13 00:00:00,0.19699999999999998,2018-02-13 19:00:00,-0.336,2018-02-13 06:12:00,-0.428
2018-02-14,2018-02-14 13:12:00,0.389,2018-02-14 00:54:00,0.306,2018-02-14 19:30:00,-0.41,2018-02-14 06:54:00,-0.349
2018-02-15,2018-02-15 13:54:00,0.293,2018-02-15 01:18:00,0.237,,,2018-02-15 07:30:00,-0.488
2018-02-16,,,2018-02-16 15:06:00,0.33899999999999997,2018-02-16 08:12:00,-0.469,2018-02-16 20:36:00,-0.413
2018-02-17,2018-02-17 15:06:00,0.52,,,2018-02-17 09:00:00,-0.256,2018-02-17 21:06:00,-0.335
2018-02-18,2018-02-18 15:48:00,0.5329999999999999,2018-02-18 03:06:00,0.483,2018-02-18 09:30:00,-0.3,,
2018-02-19,,,2018-02-19 03:54:00,0.40399999999999997,,,2018-02-19 10:06:00,-0.39799999999999996
2018-02-20,2018-02-20 04:42:00,0.415,,,2018-02-20 23:12:00,-0.46,,
2018-02-21,,,2018-02-21 05:18:00,0.293,,,2018-02-21 23:42:00,-0.59
2018-02-22,2018-02-22 06:12:00,0.205,2018-02-22 18:42:00,0.177,2018-02-22 12:24:00,-0.506,,
2018-02-23,2018-02-23 07:30:00,0.461,2018-02-23 19:30:00,0.35,2018-02-23 13:48:00,-0.18100000000000002,2018-02-23 00:12:00,-0.409
2018-02-24,2018-02-24 08:18:00,0.46,2018-02-24 20:36:00,0.33,2018-02-24 14:42:00,-0.221,2018-02-24 01:42:00,-0.312
2018-02-25,2018-02-25 09:06:00,0.46799999999999997,2018-02-25 22:00:00,0.29100000000000004,2018-02-25 02:54:00,-0.257,2018-02-25 16:00:00,-0.311
2018-02-26,2018-02-26 10:30:00,0.575,2018-02-26 22:48:00,0.46399999999999997,2018-02-26 17:06:00,-0.21,2018-02-26 03:48:00,-0.342
2018-02-27,2018-02-27 11:30:00,0.57,2018-02-27 23:54:00,0.43,2018-02-27 18:00:00,-0.308,2018-02-27 05:12:00,-0.32299999999999995
2018-02-28,2018-02-28 12:36:00,0.49700000000000005,,,2018-02-28 18:48:00,-0.494,2018-02-28 06:06:00,-0.511
2018-03-01,2018-03-01 13:24:00,0.5820000000000001,2018-03-01 01:00:00,0.429,2018-03-01 19:48:00,-0.375,2018-03-01 07:06:00,-0.483
2018-03-02,2018-03-02 02:00:00,0.621,2018-03-02 14:42:00,0.5760000000000001,2018-03-02 20:54:00,-0.361,2018-03-02 08:06:00,-0.42100000000000004
2018-03-03,2018-03-03 15:18:00,0.706,2018-03-03 02:42:00,0.639,2018-03-03 21:24:00,-0.18899999999999997,2018-03-03 09:06:00,-0.385
2018-03-04,2018-03-04 16:12:00,1.026,2018-03-04 04:00:00,0.9229999999999999,2018-03-04 09:48:00,0.135,2018-03-04 22:12:00,0.095
2018-03-05,2018-03-05 04:18:00,0.993,2018-03-05 16:30:00,0.985,2018-03-05 10:24:00,0.32799999999999996,2018-03-05 22:36:00,0.205
2018-03-06,2018-03-06 05:06:00,0.935,2018-03-06 17:18:00,0.894,2018-03-06 23:24:00,0.168,2018-03-06 11:12:00,0.157
2018-03-07,2018-03-07 05:54:00,1.0290000000000001,2018-03-07 17:30:00,0.958,2018-03-07 11:54:00,0.425,,
2018-03-08,2018-03-08 06:18:00,0.892,2018-03-08 18:48:00,0.721,2018-03-08 12:36:00,0.22699999999999998,2018-03-08 00:00:00,0.379
2018-03-09,2018-03-09 07:00:00,0.743,2018-03-09 19:42:00,0.365,2018-03-09 14:00:00,-0.057,2018-03-09 01:06:00,0.14400000000000002
2018-03-10,2018-03-10 07:18:00,0.41200000000000003,2018-03-10 20:24:00,0.205,2018-03-10 15:00:00,-0.239,2018-03-10 02:00:00,-0.156
2018-03-11,2018-03-11 09:36:00,0.29,2018-03-11 21:48:00,0.245,2018-03-11 16:06:00,-0.175,2018-03-11 02:48:00,-0.294
2018-03-12,2018-03-12 23:00:00,0.785,2018-03-12 10:36:00,0.46,,,2018-03-12 16:12:00,0.079
2018-03-13,2018-03-13 10:54:00,0.6829999999999999,2018-03-13 23:42:00,0.532,2018-03-13 05:00:00,0.34600000000000003,,
2018-03-14,2018-03-14 12:12:00,0.647,2018-03-14 23:42:00,0.325,2018-03-14 18:12:00,-0.017,2018-03-14 05:42:00,-0.10800000000000001
2018-03-15,,,2018-03-15 12:36:00,0.14800000000000002,,,2018-03-15 19:12:00,-0.638
2018-03-16,2018-03-16 01:24:00,0.175,2018-03-16 13:42:00,0.29600000000000004,2018-03-16 07:06:00,-0.5529999999999999,,
2018-03-17,2018-03-17 01:42:00,0.318,2018-03-17 14:00:00,0.292,,,2018-03-17 08:00:00,-0.507
2018-03-18,2018-03-18 14:36:00,0.485,,,2018-03-18 08:24:00,-0.462,2018-03-18 20:54:00,-0.426
2018-03-19,,,2018-03-19 02:54:00,0.47,2018-03-19 09:06:00,-0.41,2018-03-19 21:06:00,-0.33299999999999996
2018-03-20,2018-03-20 03:42:00,0.634,2018-03-20 16:00:00,0.953,2018-03-20 09:30:00,-0.048,2018-03-20 22:00:00,0.095
2018-03-21,2018-03-21 04:24:00,1.105,2018-03-21 16:30:00,0.856,2018-03-21 10:54:00,0.182,,
2018-03-22,2018-03-22 05:12:00,0.9129999999999999,2018-03-22 17:30:00,0.6709999999999999,,,2018-03-22 11:48:00,0.055
2018-03-23,2018-03-23 05:42:00,0.718,2018-03-23 18:18:00,0.5529999999999999,2018-03-23 12:30:00,-0.05,,
2018-03-24,2018-03-24 06:36:00,0.636,2018-03-24 19:12:00,0.354,2018-03-24 00:24:00,-0.151,2018-03-24 13:30:00,-0.175
2018-03-25,2018-03-25 08:00:00,0.46,2018-03-25 20:24:00,0.534,2018-03-25 14:24:00,-0.185,2018-03-25 01:18:00,-0.314
2018-03-26,2018-03-26 09:24:00,0.795,2018-03-26 21:48:00,0.6559999999999999,2018-03-26 15:54:00,0.079,2018-03-26 02:36:00,0.076
2018-03-27,2018-03-27 10:12:00,0.762,2018-03-27 22:48:00,0.624,2018-03-27 03:54:00,-0.006,2018-03-27 16:54:00,-0.071
2018-03-28,2018-03-28 11:12:00,0.662,2018-03-28 23:48:00,0.682,2018-03-28 17:42:00,-0.193,2018-03-28 05:00:00,-0.222
2018-03-29,2018-03-29 12:06:00,0.726,,,2018-03-29 05:54:00,-0.19899999999999998,2018-03-29 18:36:00,-0.244
2018-03-30,2018-03-30 00:30:00,0.634,2018-03-30 13:06:00,0.525,2018-03-30 07:00:00,-0.401,2018-03-30 19:30:00,-0.441
2018-03-31,2018-03-31 01:30:00,0.67,2018-03-31 13:54:00,0.5329999999999999,2018-03-31 07:42:00,-0.335,2018-03-31 20:06:00,-0.469
2018-04-01,2018-04-01 02:24:00,0.45399999999999996,2018-04-01 14:36:00,0.396,2018-04-01 20:48:00,-0.442,2018-04-01 08:36:00,-0.551
2018-04-02,2018-04-02 15:30:00,0.5670000000000001,2018-04-02 03:00:00,0.502,2018-04-02 21:06:00,-0.247,2018-04-02 09:24:00,-0.439
2018-04-03,2018-04-03 03:42:00,0.69,2018-04-03 15:54:00,0.499,2018-04-03 21:54:00,-0.207,2018-04-03 10:00:00,-0.23
2018-04-04,2018-04-04 04:18:00,0.634,2018-04-04 16:42:00,0.374,2018-04-04 22:36:00,-0.205,2018-04-04 10:54:00,-0.254
2018-04-05,2018-04-05 04:42:00,0.552,2018-04-05 17:18:00,0.231,2018-04-05 11:54:00,-0.212,2018-04-05 23:42:00,-0.444
2018-04-06,2018-04-06 05:54:00,0.17300000000000001,2018-04-06 18:12:00,0.068,,,2018-04-06 12:18:00,-0.483
2018-04-07,2018-04-07 19:00:00,0.322,2018-04-07 06:48:00,0.159,2018-04-07 00:06:00,-0.397,2018-04-07 12:42:00,-0.391
2018-04-08,2018-04-08 07:18:00,0.555,2018-04-08 19:48:00,0.358,2018-04-08 14:18:00,0.068,,
2018-04-09,2018-04-09 08:36:00,0.42,2018-04-09 20:54:00,0.387,2018-04-09 14:48:00,-0.052000000000000005,2018-04-09 02:30:00,-0.099
2018-04-10,2018-04-10 09:24:00,0.415,2018-04-10 22:00:00,0.35100000000000003,2018-04-10 15:42:00,-0.083,2018-04-10 03:06:00,-0.085
2018-04-11,2018-04-11 10:24:00,0.359,2018-04-11 23:06:00,0.34,2018-04-11 16:36:00,-0.259,2018-04-11 04:24:00,-0.222
2018-04-12,2018-04-12 11:18:00,0.33299999999999996,2018-04-12 23:36:00,0.24600000000000002,2018-04-12 17:18:00,-0.29,2018-04-12 05:12:00,-0.303
2018-04-13,,,2018-04-13 12:06:00,0.187,2018-04-13 18:18:00,-0.54,2018-04-13 05:54:00,-0.498
2018-04-14,2018-04-14 00:24:00,0.192,2018-04-14 13:06:00,0.141,,,2018-04-14 06:54:00,-0.6779999999999999
2018-04-15,2018-04-15 01:06:00,0.253,2018-04-15 13:48:00,0.37,2018-04-15 07:18:00,-0.611,2018-04-15 19:18:00,-0.326
2018-04-16,2018-04-16 02:00:00,0.6940000000000001,2018-04-16 14:00:00,0.608,2018-04-16 07:36:00,-0.11,2018-04-16 19:30:00,-0.12300000000000001
2018-04-17,2018-04-17 02:30:00,0.871,2018-04-17 14:30:00,0.6629999999999999,2018-04-17 09:24:00,-0.085,2018-04-17 21:06:00,-0.301
2018-04-18,2018-04-18 03:12:00,0.71,2018-04-18 15:18:00,0.505,2018-04-18 09:42:00,-0.20600000000000002,2018-04-18 21:30:00,-0.35700000000000004
2018-04-19,2018-04-19 04:00:00,0.624,2018-04-19 16:18:00,0.473,2018-04-19 10:12:00,-0.324,,
2018-04-20,2018-04-20 03:54:00,0.7140000000000001,2018-04-20 17:00:00,0.4,,,2018-04-20 23:24:00,-0.395
2018-04-21,2018-04-21 05:36:00,0.439,2018-04-21 18:06:00,0.337,2018-04-21 12:30:00,-0.324,,
2018-04-22,2018-04-22 06:42:00,0.387,2018-04-22 19:24:00,0.297,2018-04-22 00:42:00,-0.385,2018-04-22 13:06:00,-0.419
2018-04-23,2018-04-23 07:48:00,0.415,2018-04-23 20:30:00,0.35700000000000004,2018-04-23 14:18:00,-0.336,2018-04-23 01:30:00,-0.387
2018-04-24,2018-04-24 09:00:00,0.541,2018-04-24 21:48:00,0.55,2018-04-24 15:36:00,-0.187,2018-04-24 02:30:00,-0.28300000000000003
2018-04-25,2018-04-25 10:12:00,0.688,,,2018-04-25 16:24:00,-0.10800000000000001,2018-04-25 04:00:00,-0.157
2018-04-26,2018-04-26 23:30:00,0.578,2018-04-26 11:06:00,0.612,2018-04-26 04:54:00,-0.179,2018-04-26 17:30:00,-0.21
2018-04-27,,,2018-04-27 12:00:00,0.521,2018-04-27 18:06:00,-0.242,2018-04-27 05:48:00,-0.287
2018-04-28,2018-04-28 00:12:00,0.682,2018-04-28 12:42:00,0.5710000000000001,2018-04-28 19:06:00,-0.244,2018-04-28 06:42:00,-0.247
2018-04-29,2018-04-29 01:00:00,0.65,2018-04-29 13:30:00,0.621,2018-04-29 06:42:00,-0.046,2018-04-29 19:54:00,-0.252
2018-04-30,2018-04-30 01:36:00,0.634,2018-04-30 14:18:00,0.361,2018-04-30 08:48:00,-0.36,2018-04-30 20:30:00,-0.426
2018-05-01,2018-05-01 02:36:00,0.435,2018-05-01 15:00:00,0.34700000000000003,2018-05-01 20:54:00,-0.391,2018-05-01 09:00:00,-0.457
2018-05-02,2018-05-02 03:18:00,0.48100000000000004,2018-05-02 15:36:00,0.324,2018-05-02 21:36:00,-0.373,2018-05-02 09:36:00,-0.41
2018-05-03,2018-05-03 03:48:00,0.401,2018-05-03 16:24:00,0.182,2018-05-03 10:30:00,-0.457,2018-05-03 22:18:00,-0.47
2018-05-04,2018-05-04 04:30:00,0.249,2018-05-04 17:00:00,0.124,2018-05-04 22:54:00,-0.439,2018-05-04 11:12:00,-0.5379999999999999
2018-05-05,2018-05-05 17:36:00,0.225,2018-05-05 05:24:00,0.221,2018-05-05 23:30:00,-0.237,2018-05-05 11:30:00,-0.36
2018-05-06,2018-05-06 18:36:00,0.332,2018-05-06 06:00:00,0.32899999999999996,,,2018-05-06 12:18:00,-0.20199999999999999
2018-05-07,2018-05-07 06:42:00,0.461,2018-05-07 19:12:00,0.452,2018-05-07 00:24:00,-0.114,2018-05-07 13:30:00,-0.062
2018-05-08,2018-05-08 20:12:00,0.495,2018-05-08 07:54:00,0.484,2018-05-08 01:42:00,-0.03,2018-05-08 14:06:00,-0.038
2018-05-09,2018-05-09 08:42:00,0.508,2018-05-09 21:00:00,0.45299999999999996,2018-05-09 02:42:00,0.027000000000000003,,
2018-05-10,2018-05-10 09:30:00,0.406,2018-05-10 23:00:00,0.384,2018-05-10 15:48:00,-0.195,2018-05-10 03:42:00,-0.07400000000000001
2018-05-11,2018-05-11 22:48:00,0.47700000000000004,2018-05-11 10:54:00,0.37200000000000005,2018-05-11 16:30:00,-0.22699999999999998,2018-05-11 04:18:00,-0.248
2018-05-12,2018-05-12 23:36:00,0.48200000000000004,2018-05-12 11:18:00,0.33799999999999997,,,2018-05-12 17:24:00,-0.318
2018-05-13,,,2018-05-13 12:12:00,0.46299999999999997,2018-05-13 05:12:00,-0.314,2018-05-13 18:12:00,-0.225
2018-05-14,2018-05-14 00:24:00,0.703,2018-05-14 12:48:00,0.5920000000000001,2018-05-14 06:48:00,-0.222,,
2018-05-15,2018-05-15 01:30:00,0.763,2018-05-15 13:42:00,0.512,,,2018-05-15 19:36:00,-0.429
2018-05-16,2018-05-16 02:06:00,0.581,2018-05-16 14:24:00,0.475,2018-05-16 08:30:00,-0.365,2018-05-16 20:30:00,-0.364
2018-05-17,2018-05-17 02:48:00,0.6990000000000001,2018-05-17 15:12:00,0.561,2018-05-17 09:12:00,-0.32799999999999996,2018-05-17 21:24:00,-0.295
2018-05-18,2018-05-18 03:36:00,0.748,2018-05-18 16:06:00,0.5720000000000001,2018-05-18 10:12:00,-0.254,2018-05-18 22:06:00,-0.204
2018-05-19,2018-05-19 04:36:00,0.8490000000000001,2018-05-19 17:00:00,0.652,2018-05-19 23:24:00,-0.166,,
2018-05-20,2018-05-20 05:24:00,0.7090000000000001,2018-05-20 18:00:00,0.488,,,2018-05-20 12:24:00,-0.259
2018-05-21,2018-05-21 06:24:00,0.544,2018-05-21 19:06:00,0.495,2018-05-21 00:24:00,-0.273,2018-05-21 12:54:00,-0.281
2018-05-22,2018-05-22 07:30:00,0.557,2018-05-22 20:12:00,0.517,2018-05-22 14:06:00,-0.22399999999999998,2018-05-22 01:24:00,-0.225
2018-05-23,2018-05-23 21:06:00,0.604,,,2018-05-23 02:36:00,-0.12300000000000001,2018-05-23 15:00:00,-0.174
2018-05-24,2018-05-24 22:12:00,0.555,2018-05-24 09:30:00,0.54,2018-05-24 03:42:00,-0.102,2018-05-24 16:00:00,-0.17800000000000002
2018-05-25,2018-05-25 23:06:00,0.565,2018-05-25 10:42:00,0.47100000000000003,2018-05-25 16:48:00,-0.213,2018-05-25 04:36:00,-0.226
2018-05-26,,,2018-05-26 11:36:00,0.39899999999999997,2018-05-26 05:36:00,-0.255,2018-05-26 17:48:00,-0.337
2018-05-27,2018-05-27 00:00:00,0.49700000000000005,2018-05-27 12:30:00,0.28800000000000003,2018-05-27 18:24:00,-0.348,2018-05-27 06:30:00,-0.39399999999999996
2018-05-28,2018-05-28 13:24:00,0.578,2018-05-28 00:48:00,0.539,2018-05-28 19:18:00,-0.095,2018-05-28 07:06:00,-0.19
2018-05-29,2018-05-29 01:36:00,0.721,2018-05-29 13:42:00,0.583,2018-05-29 07:48:00,-0.078,2018-05-29 19:48:00,-0.11599999999999999
2018-05-30,2018-05-30 02:06:00,0.6629999999999999,2018-05-30 14:30:00,0.498,2018-05-30 20:24:00,-0.18,2018-05-30 08:24:00,-0.20199999999999999
2018-05-31,2018-05-31 02:48:00,0.645,2018-05-31 15:06:00,0.534,2018-05-31 21:00:00,-0.11900000000000001,2018-05-31 09:06:00,-0.139
2018-06-01,2018-06-01 03:18:00,0.611,2018-06-01 15:42:00,0.53,2018-06-01 21:36:00,-0.071,2018-06-01 09:42:00,-0.099
2018-06-02,2018-06-02 03:54:00,0.643,2018-06-02 16:18:00,0.521,2018-06-02 22:06:00,-0.01,2018-06-02 10:18:00,-0.07200000000000001
2018-06-03,2018-06-03 05:00:00,0.628,2018-06-03 17:24:00,0.599,2018-06-03 23:00:00,0.24600000000000002,2018-06-03 11:00:00,-0.009000000000000001
2018-06-04,2018-06-04 05:18:00,0.8109999999999999,2018-06-04 17:48:00,0.684,2018-06-04 12:00:00,0.213,,
2018-06-05,2018-06-05 06:06:00,0.727,2018-06-05 18:24:00,0.652,2018-06-05 12:48:00,0.179,2018-06-05 00:06:00,0.17300000000000001
2018-06-06,2018-06-06 19:18:00,0.6409999999999999,2018-06-06 07:12:00,0.633,,,2018-06-06 01:00:00,0.105
2018-06-07,2018-06-07 07:54:00,0.6759999999999999,2018-06-07 20:30:00,0.667,2018-06-07 01:54:00,0.174,,
2018-06-08,2018-06-08 21:06:00,0.5870000000000001,2018-06-08 08:42:00,0.569,2018-06-08 15:00:00,-0.018000000000000002,2018-06-08 02:54:00,0.084
2018-06-09,2018-06-09 22:12:00,0.547,2018-06-09 09:54:00,0.446,2018-06-09 15:48:00,-0.16699999999999998,2018-06-09 03:42:00,-0.11800000000000001
2018-06-10,2018-06-10 22:54:00,0.6659999999999999,2018-06-10 10:42:00,0.496,,,2018-06-10 16:42:00,-0.18
2018-06-11,2018-06-11 23:48:00,1.005,2018-06-11 11:42:00,0.627,2018-06-11 17:42:00,0.09699999999999999,,
2018-06-12,,,2018-06-12 12:18:00,0.7509999999999999,2018-06-12 18:36:00,-0.066,2018-06-12 06:42:00,0.031
2018-06-13,2018-06-13 00:42:00,0.8440000000000001,2018-06-13 13:06:00,0.605,2018-06-13 19:24:00,-0.344,2018-06-13 07:24:00,-0.21600000000000003
2018-06-14,2018-06-14 01:36:00,0.726,2018-06-14 14:12:00,0.503,2018-06-14 20:30:00,-0.38,2018-06-14 08:24:00,-0.40399999999999997
2018-06-15,2018-06-15 02:36:00,0.6920000000000001,2018-06-15 15:12:00,0.5539999999999999,,,2018-06-15 09:06:00,-0.38799999999999996
2018-06-16,2018-06-16 03:30:00,0.77,2018-06-16 15:54:00,0.613,2018-06-16 10:00:00,-0.285,,
2018-06-17,2018-06-17 04:18:00,0.68,2018-06-17 16:42:00,0.578,2018-06-17 23:00:00,-0.242,2018-06-17 10:48:00,-0.293
2018-06-18,2018-06-18 05:06:00,0.6629999999999999,2018-06-18 17:42:00,0.569,,,2018-06-18 11:54:00,-0.25
2018-06-19,2018-06-19 06:06:00,0.5870000000000001,2018-06-19 18:48:00,0.522,2018-06-19 12:54:00,-0.249,2018-06-19 00:00:00,-0.249
2018-06-20,2018-06-20 07:18:00,0.5379999999999999,,,2018-06-20 01:54:00,-0.14,2018-06-20 13:30:00,-0.268
2018-06-21,2018-06-21 20:48:00,0.634,2018-06-21 08:30:00,0.514,2018-06-21 14:24:00,-0.149,2018-06-21 02:18:00,-0.215
2018-06-22,2018-06-22 21:48:00,0.7709999999999999,2018-06-22 09:18:00,0.5760000000000001,2018-06-22 15:24:00,-0.006,2018-06-22 03:24:00,-0.021
2018-06-23,2018-06-23 22:36:00,0.763,2018-06-23 10:24:00,0.621,2018-06-23 05:12:00,0.078,2018-06-23 16:18:00,-0.002
2018-06-24,,,2018-06-24 11:00:00,0.557,2018-06-24 05:06:00,-0.06,2018-06-24 17:18:00,-0.079
2018-06-25,2018-06-25 00:06:00,0.7120000000000001,2018-06-25 11:54:00,0.47100000000000003,2018-06-25 18:00:00,-0.10099999999999999,2018-06-25 06:00:00,-0.192
2018-06-26,2018-06-26 00:12:00,0.6509999999999999,2018-06-26 12:42:00,0.495,2018-06-26 18:48:00,-0.158,2018-06-26 06:48:00,-0.21
2018-06-27,2018-06-27 01:12:00,0.696,2018-06-27 13:18:00,0.51,2018-06-27 07:30:00,-0.111,2018-06-27 19:36:00,-0.16899999999999998
2018-06-28,2018-06-28 01:48:00,0.637,2018-06-28 14:18:00,0.544,2018-06-28 20:06:00,-0.066,2018-06-28 08:06:00,-0.124
2018-06-29,2018-06-29 02:18:00,0.66,2018-06-29 14:42:00,0.522,2018-06-29 08:42:00,-0.147,2018-06-29 20:48:00,-0.16
2018-06-30,2018-06-30 02:54:00,0.578,2018-06-30 15:24:00,0.452,2018-06-30 21:12:00,-0.17800000000000002,2018-06-30 09:18:00,-0.20199999999999999
2018-07-01,2018-07-01 03:30:00,0.53,2018-07-01 16:00:00,0.455,2018-07-01 22:00:00,-0.161,2018-07-01 10:00:00,-0.213
2018-07-02,2018-07-02 04:18:00,0.514,2018-07-02 16:36:00,0.473,2018-07-02 22:42:00,-0.114,2018-07-02 10:30:00,-0.155
2018-07-03,2018-07-03 04:54:00,0.526,2018-07-03 17:18:00,0.486,2018-07-03 23:24:00,-0.12,2018-07-03 11:06:00,-0.142
2018-07-04,2018-07-04 05:24:00,0.508,2018-07-04 18:00:00,0.47600000000000003,,,2018-07-04 11:48:00,-0.12300000000000001
2018-07-05,2018-07-05 06:18:00,0.449,2018-07-05 18:48:00,0.415,2018-07-05 12:36:00,-0.191,,
